precision,context_length,max_new_tokens,batch_size,status,reason,load_load_time_s,load_baseline_device_used_mib,load_peak_device_used_mib,load_idle_device_used_mib,load_device_delta_mib,load_weights_mib,load_peak_allocator_mib,load_param_count,gpu_available,gpu_n_samples,gpu_duration_s,gpu_effective_interval_s,gpu_peak_memory_used_mib,gpu_min_memory_used_mib,gpu_final_memory_used_mib,gpu_memory_total_mib,gpu_mean_gpu_util_pct,gpu_max_gpu_util_pct,gpu_mean_power_w,gpu_max_power_w,gpu_max_temperature_c,gpu_samples_csv,gpu_markers_csv,n_repeats,prefill_latency_s_median,prefill_latency_s_stdev,prefill_tokens_per_s_median,prefill_tokens_per_s_stdev,ttft_s_median,ttft_s_stdev,total_generation_s_median,total_generation_s_stdev,decode_time_s_median,decode_time_s_stdev,decode_tokens_per_s_median,decode_tokens_per_s_stdev,end_to_end_tokens_per_s_median,end_to_end_tokens_per_s_stdev,itl_mean_ms_median,itl_mean_ms_stdev,itl_p50_ms_median,itl_p50_ms_stdev,itl_p90_ms_median,itl_p90_ms_stdev,itl_p99_ms_median,itl_p99_ms_stdev
bf16,512,128,1,ok,,5.5193,1527.5,16171.3,16141.5,14614.0,14525.6,14548.0,7615616512,True,147,8.99,0.06158,16311.3,16311.3,16311.3,24564.0,89.68,92.0,248.66,263.82,54.0,telemetry\bf16_ctx512.csv,telemetry\bf16_ctx512_markers.csv,3,0.05734,0.00013,8929.09,21.20219,0.05734,0.00046,2.94434,0.01372,2.88633,0.01326,44.001,0.20299,43.473,0.20299,22.727,0.10433,22.567,0.07735,23.412,0.19436,24.119,0.05568
bf16,2048,128,1,ok,,5.5193,1527.5,16171.3,16141.5,14614.0,14525.6,14548.0,7615616512,True,174,10.6526,0.06158,16691.3,16691.3,16691.3,24564.0,92.46,100.0,268.35,333.36,68.0,telemetry\bf16_ctx2048.csv,telemetry\bf16_ctx2048_markers.csv,3,0.20535,0.00174,9973.23,85.02994,0.20752,0.00076,3.36624,0.01015,3.15906,0.01002,40.202,0.12771,38.025,0.11533,24.874,0.07907,24.815,0.0766,25.473,0.12726,26.025,0.1559
fp16,512,128,1,ok,,5.5165,1611.5,16297.3,16267.5,14656.0,14525.6,14658.0,7615616512,True,146,8.9522,0.06174,16349.3,16349.3,16349.3,24564.0,89.64,93.0,253.3,268.5,64.0,telemetry\fp16_ctx512.csv,telemetry\fp16_ctx512_markers.csv,3,0.05535,0.00089,9250.54,149.57543,0.05621,0.00091,2.93059,0.01446,2.87443,0.01367,44.183,0.20934,43.677,0.21453,22.633,0.10751,22.512,0.12802,23.31,0.1313,24.097,0.24077
fp16,2048,128,1,ok,,5.5165,1611.5,16297.3,16267.5,14656.0,14525.6,14658.0,7615616512,True,174,10.6932,0.06181,16719.3,16719.3,16719.3,24564.0,92.43,100.0,273.57,340.81,69.0,telemetry\fp16_ctx2048.csv,telemetry\fp16_ctx2048_markers.csv,3,0.20818,0.00074,9837.43,34.89515,0.21051,0.00194,3.37026,0.01185,3.15676,0.01061,40.231,0.13597,37.979,0.13424,24.856,0.08359,24.752,0.05564,25.563,0.04464,26.687,0.24308
int8,512,128,1,ok,,7.0423,1619.5,10477.3,10447.5,8828.0,8302.6,8830.0,7615616512,True,484,29.8141,0.06173,10531.3,10531.3,10531.3,24564.0,37.63,44.0,94.14,125.33,49.0,telemetry\int8_ctx512.csv,telemetry\int8_ctx512_markers.csv,3,0.11284,0.00488,4537.54,183.86934,0.1155,0.00144,9.79192,0.09956,9.67599,0.10097,13.125,0.13507,13.072,0.13129,76.189,0.79529,76.218,0.66221,78.927,0.89159,82.785,2.29965
int8,2048,128,1,ok,,7.0423,1619.5,10477.3,10447.5,8828.0,8302.6,8830.0,7615616512,True,498,30.6146,0.0616,10953.3,10953.3,10953.3,24564.0,41.52,84.0,128.87,208.31,56.0,telemetry\int8_ctx2048.csv,telemetry\int8_ctx2048_markers.csv,3,0.23818,0.00292,8598.47,105.84554,0.23702,0.00116,9.97353,0.01011,9.73428,0.01031,13.047,0.01405,12.834,0.01301,76.648,0.08125,76.543,0.26446,79.372,0.39782,81.704,0.65414
nf4,512,128,1,ok,,7.2605,1627.5,8465.3,8435.5,6808.0,5191.1,6810.0,4352972288,True,162,9.9421,0.06175,8509.3,8509.3,8509.3,24564.0,52.64,54.0,173.04,197.76,56.0,telemetry\nf4_ctx512.csv,telemetry\nf4_ctx512_markers.csv,3,0.07756,0.00051,6600.98,43.34673,0.07877,0.00055,3.2514,0.02069,3.17315,0.02092,40.023,0.26651,39.368,0.25287,24.985,0.16441,24.828,0.13536,26.011,0.2561,26.73,0.92273
nf4,2048,128,1,ok,,7.2605,1627.5,8465.3,8435.5,6808.0,5191.1,6810.0,4352972288,True,176,10.7818,0.06161,8509.3,8509.3,8509.3,24564.0,67.39,100.0,215.39,298.68,67.0,telemetry\nf4_ctx2048.csv,telemetry\nf4_ctx2048_markers.csv,3,0.22557,0.00146,9079.11,58.24622,0.22781,8e-05,3.38289,0.02603,3.15467,0.02579,40.258,0.33007,37.837,0.29214,24.84,0.20319,24.772,0.31598,25.985,0.16481,27.362,0.60757
fp32,512,128,1,ok,,7.0136,1627.5,24323.3,24563.5,22936.0,29051.3,29638.0,7615616512,True,3261,201.248,0.06173,24383.3,24383.3,24383.3,24564.0,99.28,100.0,99.64,168.25,53.0,telemetry\fp32_ctx512.csv,telemetry\fp32_ctx512_markers.csv,3,4.63251,0.07843,110.52,1.82968,4.73428,0.0799,62.46882,0.21686,57.73337,0.1438,2.2,0.00551,2.049,0.00702,454.593,1.13219,453.066,0.36389,477.649,2.65125,498.954,4.26624
fp32,2048,128,1,ok,,7.0136,1627.5,24323.3,24563.5,22936.0,29051.3,29638.0,7615616512,True,22328,1379.8135,0.0618,24493.8,24118.9,24437.1,24564.0,99.72,100.0,92.86,111.54,49.0,telemetry\fp32_ctx2048.csv,telemetry\fp32_ctx2048_markers.csv,3,36.2696,53.86513,56.47,23.53301,36.49187,35.63757,226.4516,331.81628,189.97448,296.29114,0.669,0.36541,0.565,0.28803,1495.862,2333.00123,1595.924,797.70537,1825.733,3791.90836,1982.84,26276.55526
