layer,raw_difference_norm,train_cohens_d,train_auroc,test_cohens_d,test_auroc,test_mean_projection_harmful,test_mean_projection_harmless,test_cosine_cohens_d,test_cosine_auroc,harmful_mean_norm,harmless_mean_norm
0,0.224763,1.349995,0.84,0.619038,0.667778,-1.366551,-1.479901,0.678697,0.685556,10.5553,10.535
1,0.427999,1.225919,0.801224,0.521448,0.641111,4.625315,4.438027,0.470531,0.63,15.6758,15.584
2,0.546703,1.29612,0.820204,0.758131,0.7,4.553781,4.248793,0.727767,0.702222,18.8859,18.7974
3,0.656385,1.318587,0.825102,0.742564,0.712222,-0.771118,-1.157241,0.749106,0.71,18.8276,18.8147
4,1.112185,1.475334,0.856939,1.109146,0.781111,-0.208687,-1.060451,1.104757,0.78,22.8425,22.9239
5,1.500217,1.40092,0.842041,1.022398,0.768889,5.88627,4.711185,1.035167,0.773333,31.7392,31.3731
6,1.616646,1.395683,0.846939,0.860667,0.741111,-1.624136,-2.791586,0.885673,0.746667,32.3603,32.3305
7,1.904136,1.673624,0.883469,1.131457,0.796667,2.739396,1.415359,1.116838,0.792222,32.4747,32.1816
8,2.89848,1.781059,0.893673,1.059902,0.768889,0.333222,-1.606012,1.063984,0.772222,37.0552,36.9763
9,3.093107,1.626046,0.871224,0.912988,0.736667,-6.471861,-8.3578,0.986619,0.748889,43.2325,43.1012
10,3.338265,1.687508,0.877755,1.009398,0.761111,-3.436305,-5.585434,1.04277,0.765556,46.521,46.2173
11,3.884605,1.782389,0.893878,1.19577,0.786667,3.091124,0.292053,1.199991,0.786667,52.6019,51.8521
12,4.330158,2.097664,0.927143,1.630001,0.876667,-0.049386,-3.322154,1.646247,0.877778,52.1418,51.93
13,8.23197,2.187306,0.933673,1.792511,0.887778,12.479495,6.225115,1.793927,0.887778,64.0842,63.299
14,12.076879,2.286956,0.95,2.016479,0.913333,12.294396,3.057523,2.034217,0.914444,67.4094,66.4974
15,14.717222,2.34718,0.957347,2.194473,0.934444,17.398813,5.639113,2.189147,0.931111,69.7638,67.6509
16,16.773266,2.538986,0.959184,2.197679,0.927778,10.177358,-3.916657,2.207986,0.927778,71.2027,69.9633
17,20.419777,2.791072,0.965102,2.405095,0.941111,16.695482,-0.633957,2.4195,0.94,77.0504,74.8527
18,28.869894,3.326837,0.972857,3.232476,0.984444,16.105661,-12.026661,3.28165,0.984444,88.9994,87.2226
19,40.38414,3.37296,0.974898,3.500055,0.988889,32.842426,-7.436976,3.575222,0.987778,103.1054,97.9651
20,58.527733,3.352697,0.971837,3.829839,0.99,47.571289,-13.366512,3.929834,0.992222,128.324,120.4515
21,71.45903,3.260318,0.970204,3.798289,0.991111,55.876827,-18.73313,3.823864,0.991111,152.1975,144.5452
22,88.261757,3.289966,0.970204,3.812438,0.991111,66.251572,-25.956701,3.82031,0.991111,186.2361,180.7388
23,110.486046,3.233352,0.969592,3.767064,0.987778,82.217354,-33.481602,3.773283,0.987778,222.6081,219.279
24,129.013138,3.198737,0.968163,3.630143,0.985556,77.456795,-55.171928,3.629371,0.986667,271.1149,274.8365
25,156.196823,3.20043,0.969592,3.711353,0.986667,97.450859,-65.774635,3.726051,0.987778,333.8969,338.9344
26,178.011902,3.219726,0.969388,3.708629,0.985556,117.189072,-67.818321,3.718037,0.986667,419.1443,425.7597
27,201.399384,3.112814,0.963673,3.663909,0.984444,202.422943,-4.19848,3.657218,0.981111,414.2217,388.3022
