layer,raw_difference_norm,train_cohens_d,train_auroc,test_cohens_d,test_auroc,test_mean_projection_harmful,test_mean_projection_harmless,test_cosine_cohens_d,test_cosine_auroc,harmful_mean_norm,harmless_mean_norm
0,0.226456,1.005791,0.772449,0.469878,0.628889,-1.243253,-1.361736,0.50158,0.644444,13.7217,13.6823
1,0.377519,1.104942,0.790408,0.539025,0.662222,-0.202029,-0.402964,0.541434,0.665556,17.0441,17.0172
2,0.548114,1.077678,0.796122,0.639313,0.676667,-0.665915,-0.996956,0.649861,0.683333,21.7227,21.6084
3,1.024618,1.136663,0.797347,0.579981,0.674444,1.010707,0.434659,0.580008,0.674444,26.2459,26.0926
4,1.042891,1.156124,0.795306,0.557701,0.684444,-0.598031,-1.166293,0.575325,0.686667,29.7249,29.5111
5,1.313938,1.05987,0.776327,0.300345,0.582222,-2.532452,-2.992435,0.309184,0.582222,35.71,35.5731
6,1.19309,1.129789,0.789592,0.412798,0.612222,-2.406717,-2.929952,0.426513,0.616667,34.6471,34.5107
7,1.275221,1.11431,0.792245,0.43785,0.61,-3.084373,-3.700575,0.440271,0.612222,35.692,35.6878
8,1.399518,1.317857,0.830612,0.758103,0.698889,0.691363,-0.27623,0.751619,0.697778,34.5225,34.3182
9,1.643054,1.369717,0.833469,0.913218,0.734444,1.607973,0.346119,0.898137,0.727778,36.503,36.2074
10,2.515049,1.44273,0.842857,1.010437,0.787778,-1.208981,-3.22003,1.044125,0.792222,40.6846,40.8241
11,2.710754,1.627987,0.891633,0.917989,0.773333,2.25784,0.431579,0.919134,0.768889,40.7305,40.4061
12,2.950643,1.775474,0.906939,0.899289,0.748889,5.191245,3.4318,0.884857,0.751111,44.4561,44.1383
13,5.515091,2.109888,0.925102,1.39024,0.842222,12.854612,9.41611,1.388984,0.836667,49.4059,48.4449
14,6.017993,2.027931,0.912245,1.353268,0.824444,16.869192,13.189921,1.370805,0.831111,57.1849,56.3016
15,8.128432,2.229941,0.936735,1.801505,0.891111,17.382177,11.264235,1.808849,0.89,52.6908,50.8921
16,12.447743,2.260186,0.936122,1.851025,0.896667,14.691275,4.891327,1.862822,0.898889,55.9709,54.1879
17,15.026567,2.339574,0.932449,1.950034,0.907778,15.619337,3.260046,1.96225,0.907778,60.0718,58.3296
18,19.099106,2.420006,0.934082,2.005055,0.911111,21.474005,5.179749,2.031047,0.914444,66.7137,63.2354
19,21.120737,2.276949,0.925306,1.87095,0.897778,36.378979,18.716255,1.965779,0.907778,79.9105,73.9204
20,22.846329,2.391183,0.935714,1.899264,0.897778,20.970865,2.599899,1.908899,0.898889,86.3614,84.9293
21,27.918684,2.316094,0.931429,1.856567,0.895556,23.63616,1.203617,1.868651,0.895556,104.8901,103.4442
22,33.877098,2.18782,0.920612,1.736087,0.88,39.120338,11.059405,1.776456,0.89,124.3478,121.563
23,37.563599,2.155823,0.916939,1.661048,0.866667,38.44585,7.769031,1.690973,0.868889,145.547,144.4093
24,42.648376,2.197933,0.920816,1.676052,0.871111,38.936039,4.217602,1.692252,0.874444,162.4186,162.6073
25,47.226555,2.232217,0.92551,1.698299,0.873333,54.384499,15.895473,1.717763,0.872222,205.4023,204.5081
26,50.46283,2.256117,0.927551,1.698912,0.873333,62.361923,21.422266,1.758887,0.881111,262.4529,263.3653
27,56.081806,2.379168,0.93551,1.833078,0.887778,34.128681,-11.680838,1.839809,0.891111,189.431,195.8036
