source_layer,phase5_test_cohens_d,cosine_to_target,harmful_n,harmful_refusals,harmful_refusal_rate,harmful_refusal_ci_low,harmful_refusal_ci_high,perplexity,perplexity_ratio,harmless_next_token_kl
0,0.4699,0.0343,80,76,0.95,0.8784,0.9804,22.2344,1.152713,0.29281112
4,0.5577,0.0093,80,79,0.9875,0.9325,0.9978,19.2433,0.997643,0.01473026
8,0.7581,0.0272,80,78,0.975,0.9134,0.9931,19.3375,1.00253,0.02564248
10,1.0104,0.1574,80,77,0.9625,0.8955,0.9872,19.4119,1.006387,0.26128818
12,0.8993,0.2134,80,18,0.225,0.1473,0.3279,19.4362,1.007648,0.27059527
14,1.3533,0.3298,80,0,0.0,0.0,0.0458,27.526,1.427053,0.95532067
15,1.8015,0.4354,80,1,0.0125,0.0022,0.0675,24.5526,1.272898,0.87873391
16,1.851,0.592,80,15,0.1875,0.1171,0.2866,19.5965,1.015958,0.18166941
17,1.95,0.7501,80,47,0.5875,0.478,0.6889,19.512,1.011576,0.07800793
18,2.0051,1.0,80,39,0.4875,0.3811,0.5951,20.5731,1.06659,0.11640891
19,1.8709,0.7027,80,0,0.0,0.0,0.0458,24.4218,1.266119,0.74358435
20,1.8993,0.5997,80,36,0.45,0.3458,0.5588,19.9652,1.035072,0.14212889
21,1.8566,0.4933,80,20,0.25,0.1681,0.3548,20.9705,1.087188,0.31522756
22,1.7361,0.4053,80,20,0.25,0.1681,0.3548,19.8301,1.028069,0.26456608
23,1.661,0.3695,80,24,0.3,0.2106,0.4077,19.8957,1.031467,0.26036918
24,1.6761,0.3625,80,26,0.325,0.2324,0.4336,20.933,1.085248,0.28066831
26,1.6989,0.3029,80,47,0.5875,0.478,0.6889,19.7264,1.022693,0.13045412
27,1.8331,0.2838,80,69,0.8625,0.7703,0.9215,22.0305,1.142146,0.43946968
