context_length,pair,steps,n,vocab_size,mean_kl_nats,median_kl_nats,max_kl_nats,mean_js_nats,top1_agreement
128,sdpa_no_gqa_vs_fp32_reference,64,64,152064,0.00068167,0.00046159,0.0023238,0.00017029,0.984375
128,sdpa_grouped_decode_vs_fp32_reference,64,64,152064,0.00068167,0.00046159,0.0023238,0.00017029,0.984375
512,sdpa_no_gqa_vs_fp32_reference,64,64,152064,0.00077297,0.00053518,0.0021871,0.00019308,1.0
512,sdpa_grouped_decode_vs_fp32_reference,64,64,152064,0.00077297,0.00053518,0.0021871,0.00019308,1.0
1024,sdpa_no_gqa_vs_fp32_reference,64,64,152064,0.00061467,0.00037863,0.00522616,0.00015321,0.984375
1024,sdpa_grouped_decode_vs_fp32_reference,64,64,152064,0.00061467,0.00037863,0.00522616,0.00015321,0.984375
2048,sdpa_no_gqa_vs_fp32_reference,64,64,152064,0.00015968,4e-08,0.0025109,3.973e-05,1.0
2048,sdpa_grouped_decode_vs_fp32_reference,64,64,152064,0.0001151,5e-08,0.00216118,2.84e-05,1.0
4096,sdpa_no_gqa_vs_fp32_reference,64,64,152064,0.00010778,7e-08,0.00227021,2.693e-05,1.0
4096,sdpa_grouped_decode_vs_fp32_reference,64,64,152064,9.291e-05,8e-08,0.00197086,2.306e-05,1.0
8192,sdpa_no_gqa_vs_fp32_reference,64,64,152064,8.098e-05,1e-07,0.00193127,2.018e-05,1.0
8192,sdpa_grouped_decode_vs_fp32_reference,64,64,152064,0.00014209,8e-08,0.00211038,3.527e-05,1.0
16384,sdpa_no_gqa_vs_fp32_reference,64,64,152064,0.00011468,1.4e-07,0.00201078,2.875e-05,1.0
16384,sdpa_grouped_decode_vs_fp32_reference,64,64,152064,7.174e-05,8e-08,0.00283861,1.804e-05,1.0
