round,position,backend,batch_size,context_length,status,decode_tok_s,throughput_tok_s,ttft_s,prefill_s,peak_allocated_mib,peak_device_used_mib,paging_suspected,mean_gpu_util_pct,tokens_sha1
0,0,sdpa_no_gqa,1,128,ok,41.3586,41.359,0.02748,0.0293,14561.7,16697.5,False,84.86,64d5313b492f
0,1,sdpa_grouped_decode,1,128,ok,41.5366,41.537,0.02917,0.02831,14561.7,16697.5,False,82.93,64d5313b492f
0,0,sdpa_no_gqa,1,512,ok,40.9035,40.904,0.06077,0.06316,14635.0,16801.5,False,87.1,2c08d49fe3a8
0,1,sdpa_grouped_decode,1,512,ok,41.8152,41.815,0.0606,0.06019,14635.0,16801.5,False,87.43,2c08d49fe3a8
0,0,sdpa_no_gqa,1,1024,ok,39.6321,39.632,0.10709,0.10661,14735.8,16893.5,False,75.88,a5c58bcd57ec
0,1,sdpa_grouped_decode,1,1024,ok,40.813,40.813,0.10887,0.11053,14735.8,16847.4,False,81.55,a5c58bcd57ec
0,0,sdpa_no_gqa,1,2048,ok,36.2343,36.234,0.21623,0.21688,14928.9,17124.0,False,79.27,d9f7dc09fe50
0,1,sdpa_grouped_decode,1,2048,ok,39.0568,39.057,0.21601,0.23091,14928.9,17126.6,False,81.63,36ff6aae9a04
0,0,sdpa_no_gqa,1,4096,ok,32.218,32.218,0.45911,0.45911,15319.4,17612.6,False,92.87,17dbb5f5955b
0,1,sdpa_grouped_decode,1,4096,ok,37.8255,37.825,0.48055,0.49201,15319.5,17610.0,False,91.66,1daafa2ec880
0,0,sdpa_no_gqa,1,8192,ok,26.6559,26.656,1.00287,1.06745,16101.6,18562.5,False,95.39,56de71e7d195
0,1,sdpa_grouped_decode,1,8192,ok,38.3691,38.369,0.98212,0.98651,16101.6,18562.5,False,94.65,e17cf140ed4c
0,0,sdpa_no_gqa,1,16384,ok,19.1458,19.146,2.23587,2.24934,17666.0,20292.7,False,93.64,68f2a9f74ee5
0,1,sdpa_grouped_decode,1,16384,ok,30.2326,30.233,2.23499,2.23884,17666.0,20292.7,False,96.32,68f2a9f74ee5
1,0,sdpa_grouped_decode,1,128,ok,43.5097,43.51,0.02775,0.02789,14561.8,16668.7,False,88.29,64d5313b492f
1,1,sdpa_no_gqa,1,128,ok,42.966,42.966,0.02675,0.029,14561.7,16668.7,False,86.55,64d5313b492f
1,0,sdpa_grouped_decode,1,512,ok,41.8941,41.894,0.0593,0.05851,14635.0,16772.7,False,83.27,2c08d49fe3a8
1,1,sdpa_no_gqa,1,512,ok,40.0336,40.034,0.06043,0.06056,14635.0,16772.7,False,82.35,2c08d49fe3a8
1,0,sdpa_grouped_decode,1,1024,ok,40.6623,40.662,0.10893,0.10689,14735.8,16864.7,False,84.81,a5c58bcd57ec
1,1,sdpa_no_gqa,1,1024,ok,39.6994,39.699,0.10788,0.10939,14735.8,16864.7,False,82.84,a5c58bcd57ec
1,0,sdpa_grouped_decode,1,2048,ok,36.7672,36.767,0.21083,0.21168,14928.9,17130.7,False,81.47,36ff6aae9a04
1,1,sdpa_no_gqa,1,2048,ok,38.3377,38.338,0.21111,0.21177,14928.9,17128.7,False,89.26,d9f7dc09fe50
1,0,sdpa_grouped_decode,1,4096,ok,37.0806,37.081,0.44999,0.45295,15319.4,17616.7,False,79.0,1daafa2ec880
1,1,sdpa_no_gqa,1,4096,ok,33.6505,33.65,0.45069,0.45573,15319.5,17616.7,False,82.8,17dbb5f5955b
1,0,sdpa_grouped_decode,1,8192,ok,37.0971,37.097,0.98421,0.98734,16101.6,18636.7,False,93.82,e17cf140ed4c
1,1,sdpa_no_gqa,1,8192,ok,27.2285,27.229,0.98371,0.99105,16101.6,18636.7,False,93.15,56de71e7d195
1,0,sdpa_grouped_decode,1,16384,ok,30.3083,30.308,2.23002,2.24401,17666.0,20296.4,False,96.42,68f2a9f74ee5
1,1,sdpa_no_gqa,1,16384,ok,19.338,19.338,2.22371,2.2368,17666.0,20296.4,False,93.35,68f2a9f74ee5
2,0,sdpa_no_gqa,1,128,ok,44.3091,44.309,0.02738,0.02816,14561.8,16594.5,False,89.71,64d5313b492f
2,1,sdpa_grouped_decode,1,128,ok,43.9245,43.925,0.02972,0.02722,14561.7,16594.5,False,89.29,64d5313b492f
2,0,sdpa_no_gqa,1,512,ok,42.5689,42.569,0.06022,0.06028,14635.0,17120.5,False,89.1,2c08d49fe3a8
2,1,sdpa_grouped_decode,1,512,ok,43.0606,43.061,0.05762,0.06119,14635.0,17392.5,False,79.52,2c08d49fe3a8
2,0,sdpa_no_gqa,1,1024,ok,40.3332,40.333,0.10914,0.10783,14735.8,16790.5,False,90.22,a5c58bcd57ec
2,1,sdpa_grouped_decode,1,1024,ok,42.3731,42.373,0.10779,0.10642,14735.8,16790.5,False,89.13,a5c58bcd57ec
2,0,sdpa_no_gqa,1,2048,ok,36.9538,36.954,0.22049,0.22965,14928.9,17056.5,False,82.0,d9f7dc09fe50
2,1,sdpa_grouped_decode,1,2048,ok,37.7901,37.79,0.21676,0.21108,14928.9,17056.5,False,77.53,36ff6aae9a04
2,0,sdpa_no_gqa,1,4096,ok,30.5153,30.515,0.46888,0.46216,15319.4,17542.5,False,93.79,17dbb5f5955b
2,1,sdpa_grouped_decode,1,4096,ok,37.9791,37.979,0.50815,0.45025,15319.5,17542.5,False,87.47,1daafa2ec880
2,0,sdpa_no_gqa,1,8192,ok,27.6901,27.69,0.97462,0.98226,16101.6,18562.5,False,93.59,56de71e7d195
2,1,sdpa_grouped_decode,1,8192,ok,37.8327,37.833,0.9802,0.98216,16101.6,18562.5,False,92.22,e17cf140ed4c
2,0,sdpa_no_gqa,1,16384,ok,19.6093,19.609,2.2361,2.23703,17666.0,20218.5,False,93.65,68f2a9f74ee5
2,1,sdpa_grouped_decode,1,16384,ok,30.6542,30.654,2.23351,2.23436,17666.0,20218.5,False,94.44,68f2a9f74ee5
3,0,sdpa_grouped_decode,1,128,ok,43.3332,43.333,0.02836,0.03129,14561.8,16594.5,False,88.21,64d5313b492f
3,1,sdpa_no_gqa,1,128,ok,41.083,41.083,0.0266,0.03099,14561.7,16594.5,False,83.47,64d5313b492f
3,0,sdpa_grouped_decode,1,512,ok,43.116,43.116,0.05911,0.05767,14635.0,16696.5,False,86.48,2c08d49fe3a8
3,1,sdpa_no_gqa,1,512,ok,41.8055,41.806,0.05762,0.05867,14635.0,16698.5,False,85.73,2c08d49fe3a8
3,0,sdpa_grouped_decode,1,1024,ok,41.5973,41.597,0.10592,0.10885,14735.8,16790.5,False,82.84,a5c58bcd57ec
3,1,sdpa_no_gqa,1,1024,ok,39.6069,39.607,0.10782,0.11213,14735.8,16867.7,False,90.5,a5c58bcd57ec
3,0,sdpa_grouped_decode,1,2048,ok,39.2679,39.268,0.20931,0.2111,14928.9,17131.7,False,84.29,36ff6aae9a04
3,1,sdpa_no_gqa,1,2048,ok,38.7087,38.709,0.2085,0.21034,14928.9,17146.7,False,90.97,d9f7dc09fe50
3,0,sdpa_grouped_decode,1,4096,ok,40.0535,40.053,0.49923,0.53502,15319.4,17662.4,False,92.51,1daafa2ec880
3,1,sdpa_no_gqa,1,4096,ok,32.4579,32.458,0.45508,0.46185,15319.5,17662.4,False,92.73,17dbb5f5955b
3,0,sdpa_grouped_decode,1,8192,ok,35.8207,35.821,1.00544,1.01652,16101.6,19378.4,False,93.79,e17cf140ed4c
3,1,sdpa_no_gqa,1,8192,ok,26.5186,26.519,0.99602,1.00508,16101.6,19098.4,False,94.76,56de71e7d195
3,0,sdpa_grouped_decode,1,16384,ok,29.5987,29.599,2.26568,2.27498,17666.0,20338.4,False,96.29,68f2a9f74ee5
3,1,sdpa_no_gqa,1,16384,ok,19.0306,19.031,2.26544,2.28205,17666.0,20340.4,False,96.48,68f2a9f74ee5
4,0,sdpa_no_gqa,1,128,ok,43.3636,43.364,0.02714,0.02912,14561.8,16714.4,False,75.07,64d5313b492f
4,1,sdpa_grouped_decode,1,128,ok,43.6335,43.634,0.02795,0.02803,14561.7,16714.4,False,88.21,64d5313b492f
4,0,sdpa_no_gqa,1,512,ok,41.7222,41.722,0.0606,0.05829,14635.0,16818.4,False,87.23,2c08d49fe3a8
4,1,sdpa_grouped_decode,1,512,ok,42.8485,42.849,0.05904,0.06137,14635.0,16816.4,False,89.45,2c08d49fe3a8
4,0,sdpa_no_gqa,1,1024,ok,40.8162,40.816,0.10671,0.1111,14735.8,16910.4,False,89.87,a5c58bcd57ec
4,1,sdpa_grouped_decode,1,1024,ok,41.3372,41.337,0.10759,0.11265,14735.8,16910.4,False,89.61,a5c58bcd57ec
4,0,sdpa_no_gqa,1,2048,ok,38.375,38.375,0.21571,0.21748,14928.9,17174.4,False,91.46,d9f7dc09fe50
4,1,sdpa_grouped_decode,1,2048,ok,41.6986,41.699,0.21714,0.21853,14928.9,17174.4,False,76.58,36ff6aae9a04
4,0,sdpa_no_gqa,1,4096,ok,33.5467,33.547,0.45878,0.46018,15319.4,17662.4,False,93.02,17dbb5f5955b
4,1,sdpa_grouped_decode,1,4096,ok,37.6142,37.614,0.45687,0.46059,15319.5,17662.4,False,83.83,1daafa2ec880
