round,position,backend,batch_size,context_length,status,decode_tok_s,throughput_tok_s,ttft_s,prefill_s,peak_allocated_mib,peak_device_used_mib,paging_suspected,mean_gpu_util_pct,tokens_sha1
0,0,sdpa_no_gqa,1,512,ok,42.3162,42.316,0.06007,0.0606,14635.0,16746.7,False,88.03,2c08d49fe3a8
0,1,sdpa_grouped_decode,1,512,ok,42.953,42.953,0.06024,0.06011,14635.0,16746.7,False,74.21,2c08d49fe3a8
0,0,sdpa_no_gqa,2,512,ok,39.5722,79.144,0.10678,0.10775,14735.8,16838.7,False,90.19,1ece8190c4f1
0,1,sdpa_grouped_decode,2,512,ok,40.4482,80.896,0.11076,0.10899,14735.8,16857.2,False,88.69,1ece8190c4f1
0,0,sdpa_no_gqa,4,512,ok,38.0282,152.113,0.20695,0.20669,14928.8,17093.2,False,90.06,352f9040c848
0,1,sdpa_grouped_decode,4,512,ok,40.9216,163.686,0.20849,0.20809,14928.8,17092.1,False,90.91,352f9040c848
0,0,sdpa_no_gqa,8,512,ok,35.6331,285.065,0.42024,0.43423,15319.4,17550.1,False,92.76,cf97fe0f1425
0,1,sdpa_grouped_decode,8,512,ok,40.3915,323.132,0.41943,0.42849,15319.4,17550.1,False,92.35,cf97fe0f1425
0,0,sdpa_no_gqa,16,512,ok,29.0432,464.691,0.8554,0.8632,16101.6,18478.1,False,90.07,dd61f7328378
0,1,sdpa_grouped_decode,16,512,ok,38.6302,618.082,0.85373,0.86321,16101.6,18478.1,False,93.0,dd61f7328378
0,0,sdpa_no_gqa,32,512,ok,21.217,678.942,1.71168,1.73824,17665.8,20334.1,False,96.02,75f7a03411e6
0,1,sdpa_grouped_decode,32,512,ok,35.008,1120.256,1.70415,1.7332,17665.9,20335.7,False,95.29,75f7a03411e6
0,0,sdpa_no_gqa,64,512,ok,14.1046,902.695,3.42008,3.46188,20794.4,24067.6,True,95.29,8f249c3ba086
0,1,sdpa_grouped_decode,64,512,ok,28.9857,1855.083,3.42633,3.46551,20794.6,24058.3,True,91.94,8f249c3ba086
1,0,sdpa_grouped_decode,1,512,ok,43.4095,43.409,0.05823,0.0597,14635.3,16772.3,False,86.93,2c08d49fe3a8
1,1,sdpa_no_gqa,1,512,ok,42.7662,42.766,0.05874,0.05879,14635.0,16772.3,False,86.9,2c08d49fe3a8
1,0,sdpa_grouped_decode,2,512,ok,41.6813,83.363,0.10616,0.10816,14735.8,16864.3,False,90.61,1ece8190c4f1
1,1,sdpa_no_gqa,2,512,ok,40.0079,80.016,0.10734,0.10556,14735.8,16864.3,False,89.88,1ece8190c4f1
1,0,sdpa_grouped_decode,4,512,ok,40.7129,162.852,0.20467,0.20357,14928.8,17100.3,False,90.42,352f9040c848
1,1,sdpa_no_gqa,4,512,ok,37.9627,151.851,0.20514,0.20523,14928.8,17100.3,False,91.8,352f9040c848
1,0,sdpa_grouped_decode,8,512,ok,40.2768,322.214,0.42139,0.42139,15319.4,17554.6,False,92.63,cf97fe0f1425
1,1,sdpa_no_gqa,8,512,ok,35.8996,287.197,0.41861,0.42709,15319.4,17554.6,False,93.27,cf97fe0f1425
1,0,sdpa_grouped_decode,16,512,ok,39.2711,628.337,0.85186,0.85359,16101.6,18482.6,False,94.57,dd61f7328378
1,1,sdpa_no_gqa,16,512,ok,29.4666,471.465,0.85109,0.85351,16101.6,18482.6,False,91.39,dd61f7328378
1,0,sdpa_grouped_decode,32,512,ok,34.5641,1106.051,1.72705,1.75688,17665.8,20338.6,False,91.6,75f7a03411e6
1,1,sdpa_no_gqa,32,512,ok,21.0102,672.326,1.75192,1.76111,17665.9,20340.6,False,95.98,75f7a03411e6
1,0,sdpa_grouped_decode,64,512,ok,28.3281,1812.999,3.48217,3.52129,20794.4,24054.6,True,92.79,8f249c3ba086
1,1,sdpa_no_gqa,64,512,ok,13.8797,888.302,3.49737,3.53094,20794.6,24054.6,True,96.86,8f249c3ba086
2,0,sdpa_no_gqa,1,512,ok,42.3457,42.346,0.05872,0.06033,14635.3,16768.6,False,77.69,2c08d49fe3a8
