run,precision,attn_implementation,batch_size,context_length,weights_gb,kv_cache_gb,measured_decode_tok_s,measured_decode_tok_s_stdev,measured_throughput_tok_s,measured_ms_per_step,traffic_model,ceiling_ideal_tok_s,ceiling_grouped_tok_s,ceiling_expanded_tok_s,compute_ceiling_throughput_tok_s,fraction_of_ideal,fraction_of_applicable,achieved_bandwidth_gb_s,prefill_tflop,prefill_ceiling_s,measured_prefill_s,prefill_mfu,attention_share_of_prefill_flops
phase1_context_sweep/20260922T160004Z,bf16,sdpa_no_gqa,1,128,15.231,0.011,44.844,0.01212,44.844,22.3,expanded,58.0,57.92,57.34,12066.1,0.7732,0.7821,691.4,1.674,0.01063,0.0256,0.4152,0.002
phase1_context_sweep/20260922T160004Z,bf16,sdpa_no_gqa,1,512,15.231,0.033,43.569,0.15331,43.569,22.952,expanded,57.92,57.67,55.98,12066.1,0.7522,0.7783,688.1,6.735,0.04277,0.05866,0.7291,0.0078
phase1_context_sweep/20260922T160004Z,bf16,sdpa_no_gqa,1,2048,15.231,0.1211,39.596,0.14819,39.596,25.255,expanded,57.58,56.69,51.13,12066.1,0.6877,0.7744,684.6,27.569,0.17508,0.20681,0.8466,0.0305
phase1_context_sweep/20260922T160004Z,bf16,sdpa_no_gqa,1,8192,15.231,0.4734,27.402,0.06694,27.402,36.494,expanded,56.29,53.09,37.98,12066.1,0.4868,0.7215,637.9,120.379,0.76446,0.96981,0.7883,0.1119
phase1_context_sweep/20260922T160004Z,bf16,sdpa_no_gqa,1,16384,15.231,0.9432,19.552,0.05243,19.552,51.146,expanded,54.66,48.95,28.28,12066.1,0.3577,0.6914,611.3,267.697,1.69999,2.20595,0.7706,0.2013
phase2_precision_sweep/20260922T160235Z,bf16,sdpa_no_gqa,1,512,15.231,0.033,44.001,0.20299,44.001,22.727,expanded,57.92,57.67,55.98,12066.1,0.7597,0.786,694.9,6.735,0.04277,0.05734,0.7458,0.0078
phase2_precision_sweep/20260922T160235Z,bf16,sdpa_no_gqa,1,2048,15.231,0.1211,40.202,0.12771,40.202,24.874,expanded,57.58,56.69,51.13,12066.1,0.6982,0.7863,695.1,27.569,0.17508,0.20535,0.8526,0.0305
phase2_precision_sweep/20260922T160235Z,fp16,sdpa_no_gqa,1,512,15.231,0.033,44.183,0.20934,44.183,22.633,expanded,57.92,57.67,55.98,12066.1,0.7628,0.7893,697.7,6.735,0.04277,0.05535,0.7727,0.0078
phase2_precision_sweep/20260922T160235Z,fp16,sdpa_no_gqa,1,2048,15.231,0.1211,40.231,0.13597,40.231,24.856,expanded,57.58,56.69,51.13,12066.1,0.6987,0.7868,695.6,27.569,0.17508,0.20818,0.841,0.0305
phase2_precision_sweep/20260922T160235Z,int8,sdpa_no_gqa,1,512,8.706,0.033,13.125,0.13507,13.125,76.19,expanded,101.16,100.4,95.4,12066.1,0.1297,0.1376,121.6,6.735,0.04277,0.11284,0.379,0.0078
